Period,EnergyValue
1900-01-01 00:00:00,444.32041657821304
1900-01-01 00:15:00,429.37892177783743
1900-01-01 00:30:00,402.9689799088401
1900-01-01 00:45:00,401.04262800304235
1900-01-01 01:00:00,405.2675283679042
1900-01-01 01:15:00,407.1401569580698
1900-01-01 01:30:00,453.9060911931579
1900-01-01 01:45:00,479.2815611825971
1900-01-01 02:00:00,456.611269533578
1900-01-01 02:15:00,490.38018664430007
1900-01-01 02:30:00,548.0547695227904
1900-01-01 02:45:00,563.6906527712173
1900-01-01 03:00:00,621.5606755977502
1900-01-01 03:15:00,619.152022202667
1900-01-01 03:30:00,636.6653167074504
1900-01-01 03:45:00,654.2733586716483
1900-01-01 04:00:00,667.6463455916931
1900-01-01 04:15:00,645.062429236642
1900-01-01 04:30:00,656.63790046497
1900-01-01 04:45:00,659.1139256699441
1900-01-01 05:00:00,722.4706332988061
1900-01-01 05:15:00,764.9846679764782
1900-01-01 05:30:00,771.1830886265866
1900-01-01 05:45:00,820.4851089658262
1900-01-01 06:00:00,775.0139897525731
1900-01-01 06:15:00,790.6329350327289
1900-01-01 06:30:00,773.3529334491233
1900-01-01 06:45:00,771.9521311127751
1900-01-01 07:00:00,699.7796168174241
1900-01-01 07:15:00,699.3998008238406
1900-01-01 07:30:00,638.9319114299049
1900-01-01 07:45:00,594.510596363602
1900-01-01 08:00:00,545.8571451767256
1900-01-01 08:15:00,547.6696743005773
1900-01-01 08:30:00,519.2165042815246
1900-01-01 08:45:00,501.62354637634047
1900-01-01 09:00:00,473.14213018894446
1900-01-01 09:15:00,466.4833098674122
1900-01-01 09:30:00,460.711643484217
1900-01-01 09:45:00,455.8995314781125
1900-01-01 10:00:00,447.674053904611
1900-01-01 10:15:00,455.6166495011725
1900-01-01 10:30:00,455.45000694380724
1900-01-01 10:45:00,476.66757584910084
1900-01-01 11:00:00,460.28580112562287
1900-01-01 11:15:00,482.6354490967876
1900-01-01 11:30:00,508.66942150101715
1900-01-01 11:45:00,491.4470522666478
1900-01-01 12:00:00,550.5187896790756
1900-01-01 12:15:00,495.7057478302685
1900-01-01 12:30:00,502.32837752005355
1900-01-01 12:45:00,457.61581036442084
1900-01-01 13:00:00,463.36615212414006
1900-01-01 13:15:00,480.6430163599324
1900-01-01 13:30:00,460.9687156569837
1900-01-01 13:45:00,473.26558785080823
1900-01-01 14:00:00,450.5561226775795
1900-01-01 14:15:00,455.9706921404425
1900-01-01 14:30:00,432.3636969759433
1900-01-01 14:45:00,470.03271124698335
1900-01-01 15:00:00,448.8591289584694
1900-01-01 15:15:00,467.5680787654459
1900-01-01 15:30:00,500.9731823060892
1900-01-01 15:45:00,502.6437843065029
1900-01-01 16:00:00,498.9079405485007
1900-01-01 16:15:00,542.0608979675104
1900-01-01 16:30:00,596.8732238870531
1900-01-01 16:45:00,638.3027134694267
1900-01-01 17:00:00,708.8944558130778
1900-01-01 17:15:00,750.7045060376695
1900-01-01 17:30:00,746.2548734623714
1900-01-01 17:45:00,796.4771138541557
1900-01-01 18:00:00,808.9452583980152
1900-01-01 18:15:00,753.4214013879061
1900-01-01 18:30:00,751.6334667202345
1900-01-01 18:45:00,771.6689008279006
1900-01-01 19:00:00,722.0359419960331
1900-01-01 19:15:00,698.6551899460105
1900-01-01 19:30:00,724.4150785686052
1900-01-01 19:45:00,707.0822224867535
1900-01-01 20:00:00,738.4302387668438
1900-01-01 20:15:00,720.6022235605527
1900-01-01 20:30:00,713.8484174248243
1900-01-01 20:45:00,697.0197214160611
1900-01-01 21:00:00,677.48860500443
1900-01-01 21:15:00,649.1709431724785
1900-01-01 21:30:00,634.5810713822451
1900-01-01 21:45:00,584.4022584683038
1900-01-01 22:00:00,580.5843818667784
1900-01-01 22:15:00,582.7369506904578
1900-01-01 22:30:00,561.0750508460505
1900-01-01 22:45:00,521.5092560620201
1900-01-01 23:00:00,484.03172495098676
