Period,EnergyValue
1900-01-01 00:00:00,457.00861053256904
1900-01-01 00:15:00,417.5974157221923
1900-01-01 00:30:00,426.1982136653822
1900-01-01 00:45:00,426.1366736407
1900-01-01 01:00:00,422.1280996768212
1900-01-01 01:15:00,406.1900493668357
1900-01-01 01:30:00,422.18748843089406
1900-01-01 01:45:00,448.64015843747893
1900-01-01 02:00:00,465.31905764491853
1900-01-01 02:15:00,486.89202193735093
1900-01-01 02:30:00,523.4866034705411
1900-01-01 02:45:00,584.2257771245797
1900-01-01 03:00:00,573.6757428340775
1900-01-01 03:15:00,607.4267033816977
1900-01-01 03:30:00,622.3626679315425
1900-01-01 03:45:00,609.2025855859066
1900-01-01 04:00:00,642.5989833986001
1900-01-01 04:15:00,668.204452997774
1900-01-01 04:30:00,694.633584676698
1900-01-01 04:45:00,686.2925246133731
1900-01-01 05:00:00,708.4954787215534
1900-01-01 05:15:00,767.6326144141068
1900-01-01 05:30:00,787.6787419716371
1900-01-01 05:45:00,788.9376737884362
1900-01-01 06:00:00,826.2159144096561
1900-01-01 06:15:00,808.9543404856844
1900-01-01 06:30:00,783.7690188974266
1900-01-01 06:45:00,710.835987658283
1900-01-01 07:00:00,700.4549804992675
1900-01-01 07:15:00,653.153986641831
1900-01-01 07:30:00,665.0636672046321
1900-01-01 07:45:00,576.8207570815403
1900-01-01 08:00:00,543.3689308818946
1900-01-01 08:15:00,512.7712205932394
1900-01-01 08:30:00,490.53966365560115
1900-01-01 08:45:00,480.43935063476914
1900-01-01 09:00:00,485.6996658127446
1900-01-01 09:15:00,447.8025155444184
1900-01-01 09:30:00,461.3305710132783
1900-01-01 09:45:00,455.98145277313427
1900-01-01 10:00:00,426.28603133213073
1900-01-01 10:15:00,457.5802563589504
1900-01-01 10:30:00,442.7602876833807
1900-01-01 10:45:00,453.3119313285351
1900-01-01 11:00:00,452.0655518298111
1900-01-01 11:15:00,462.2786817900128
1900-01-01 11:30:00,473.7311113467299
1900-01-01 11:45:00,532.3603625367274
1900-01-01 12:00:00,518.5083957718159
1900-01-01 12:15:00,499.0192243708137
1900-01-01 12:30:00,488.5020652288705
1900-01-01 12:45:00,498.7805556013177
1900-01-01 13:00:00,470.87239080573926
1900-01-01 13:15:00,447.71803919292813
1900-01-01 13:30:00,468.5678770670408
1900-01-01 13:45:00,439.89511983262986
1900-01-01 14:00:00,470.1248704764824
1900-01-01 14:15:00,436.3504091135816
1900-01-01 14:30:00,451.76205074964844
1900-01-01 14:45:00,430.77858065562503
1900-01-01 15:00:00,460.70019932997974
1900-01-01 15:15:00,446.9950870276112
1900-01-01 15:30:00,497.04645284924123
1900-01-01 15:45:00,469.8957997739192
1900-01-01 16:00:00,517.4378264704662
1900-01-01 16:15:00,576.9025284057002
1900-01-01 16:30:00,625.9672469222106
1900-01-01 16:45:00,626.4885947685215
1900-01-01 17:00:00,668.5948220209581
1900-01-01 17:15:00,730.0847061899469
1900-01-01 17:30:00,756.7159478255703
1900-01-01 17:45:00,764.2086429490388
1900-01-01 18:00:00,799.4607265931385
1900-01-01 18:15:00,743.7707298584934
1900-01-01 18:30:00,740.4570090062513
1900-01-01 18:45:00,726.6093080554359
1900-01-01 19:00:00,722.4534752119082
1900-01-01 19:15:00,692.7534054938582
1900-01-01 19:30:00,731.4490760711482
1900-01-01 19:45:00,711.6573353290922
1900-01-01 20:00:00,674.8384928539257
1900-01-01 20:15:00,676.6976469554594
1900-01-01 20:30:00,715.9163691705277
1900-01-01 20:45:00,672.7042295661374
1900-01-01 21:00:00,680.5710727581534
1900-01-01 21:15:00,658.6796903475125
1900-01-01 21:30:00,607.9608680252685
1900-01-01 21:45:00,612.0832488374112
1900-01-01 22:00:00,559.9680092306114
1900-01-01 22:15:00,573.5594243115963
1900-01-01 22:30:00,531.8576684682326
1900-01-01 22:45:00,511.8726107874166
1900-01-01 23:00:00,502.5011504758158
