GlobalTime;Energy Total
20.09.2010 00:15;544.806880381543
20.09.2010 00:30;482.9938973876374
20.09.2010 00:45;431.4002035131802
20.09.2010 01:00;387.8432449026269
20.09.2010 01:15;381.22613907132614
20.09.2010 01:30;350.86965205768854
20.09.2010 01:45;325.7743862226016
20.09.2010 02:00;322.9101096467876
20.09.2010 02:15;315.88289988599627
20.09.2010 02:30;320.30383596628434
20.09.2010 02:45;310.77949932660175
20.09.2010 03:00;307.70411829975694
20.09.2010 03:15;308.598673606103
20.09.2010 03:30;297.51302918894316
20.09.2010 03:45;320.6126385581607
20.09.2010 04:00;301.6254737619486
20.09.2010 04:15;308.0386123172886
20.09.2010 04:30;303.3892773168409
20.09.2010 04:45;315.41260762972854
20.09.2010 05:00;313.2484043243634
20.09.2010 05:15;338.203961436235
20.09.2010 05:30;346.5873519130533
20.09.2010 05:45;362.7010449460669
20.09.2010 06:00;446.08723715365886
20.09.2010 06:15;556.341209260639
20.09.2010 06:30;687.6931473038352
20.09.2010 06:45;810.8074004909354
20.09.2010 07:00;931.3106246236287
20.09.2010 07:15;983.21032365134
20.09.2010 07:30;1021.4908858588416
20.09.2010 07:45;1063.533722109234
20.09.2010 08:00;1086.073419853018
20.09.2010 08:15;1124.895064690434
20.09.2010 08:30;1090.80254490957
20.09.2010 08:45;1057.635685665411
20.09.2010 09:00;1082.774062748011
20.09.2010 09:15;1030.0302230824368
20.09.2010 09:30;1030.9799389551663
20.09.2010 09:45;964.884139724725
20.09.2010 10:00;958.244484112937
20.09.2010 10:15;958.344462598889
20.09.2010 10:30;923.7032893157512
20.09.2010 10:45;942.9451092837184
20.09.2010 11:00;905.2872601298816
20.09.2010 11:15;949.6203967623278
20.09.2010 11:30;951.518297322956
20.09.2010 11:45;917.9999664273495
20.09.2010 12:00;986.4120539337875
20.09.2010 12:15;1004.480328739796
20.09.2010 12:30;1042.3920464229095
20.09.2010 12:45;1090.2124224653192
20.09.2010 13:00;1121.2025681654488
20.09.2010 13:15;1070.9892064620885
20.09.2010 13:30;1020.0672186002806
20.09.2010 13:45;1062.6723490615975
20.09.2010 14:00;945.3057117308819
20.09.2010 14:15;938.1433037756044
20.09.2010 14:30;921.0884722191462
20.09.2010 14:45;876.1305505815805
20.09.2010 15:00;861.9193832305872
20.09.2010 15:15;834.5719748274838
20.09.2010 15:30;865.5172581074771
20.09.2010 15:45;819.9614080047006
20.09.2010 16:00;845.485163853671
20.09.2010 16:15;804.5102920034227
20.09.2010 16:30;822.4913302133184
20.09.2010 16:45;886.9293114771302
20.09.2010 17:00;907.2506492965626
20.09.2010 17:15;899.4629088029741
20.09.2010 17:30;997.107654144842
20.09.2010 17:45;1105.8354049027387
20.09.2010 18:00;1135.0198614194462
20.09.2010 18:15;1258.4400012562476
20.09.2010 18:30;1282.463795295016
20.09.2010 18:45;1402.6848845774857
20.09.2010 19:00;1475.698548126598
20.09.2010 19:15;1509.4536995377543
20.09.2010 19:30;1517.946544734352
20.09.2010 19:45;1522.4130960372672
20.09.2010 20:00;1498.6962880891685
20.09.2010 20:15;1392.231794064521
20.09.2010 20:30;1355.367750239191
20.09.2010 20:45;1356.8829541573014
20.09.2010 21:00;1262.450256010238
20.09.2010 21:15;1189.246877174332
20.09.2010 21:30;1160.6636765471092
20.09.2010 21:45;1148.9383152963937
20.09.2010 22:00;1040.5975137735797
20.09.2010 22:15;987.9002937591018
20.09.2010 22:30;976.8865067560404
20.09.2010 22:45;896.0724618253747
20.09.2010 23:00;805.5265485163482
20.09.2010 23:15;780.9918745279555
20.09.2010 23:30;720.2240339416253
20.09.2010 23:45;660.2742296221046
